title,address,link
City Center Alexandria,"Cairo Alex Desert Rd, Qetaa at Tarik as Sahrawi, Amreya 1, Alexandria Governorate 5258730",https://www.google.com/maps/place/City+Center+Alexandria/data=!4m7!3m6!1s0x14f5c26d673fdc49:0xd34e54a8f040c1af!8m2!3d31.1666175!4d29.933399!16s%2Fm%2F0_8pg_2!19sChIJSdw_Z23C9RQRr8FA8KhUTtM?authuser=0&hl=en&rclk=1
City Light Mall,"6XWV+G82, As Soyouf Qebli (Include Izbat Derbanah), Montaza 2, Alexandria Governorate 5515140",https://www.google.com/maps/place/City+Light+Mall/data=!4m7!3m6!1s0x14f5db4ccc47c8cb:0x15ec371841d5fa5c!8m2!3d31.2462661!4d29.9932702!16s%2Fg%2F11gxnshkzq!19sChIJy8hHzEzb9RQRXPrVQRg37BU?authuser=0&hl=en&rclk=1
Green Plaza Mall,مول، جرين بلازا,https://www.google.com/maps/place/Green+Plaza+Mall/data=!4m7!3m6!1s0x14f5c4b1d6effc7b:0x8352fda5b24b1d09!8m2!3d31.206654!4d29.9650632!16s%2Fg%2F1tftt9vv!19sChIJe_zv1rHE9RQRCR1LsqX9UoM?authuser=0&hl=en&rclk=1
سنتر أكاسيا,"6XRP+J5W, Waly String, Dana Al Gadidah WA Izbat Al Westaneyah, El Raml 2, Alexandria Governorate 5448622",https://www.google.com/maps/place/%D8%B3%D9%86%D8%AA%D8%B1+%D8%A3%D9%83%D8%A7%D8%B3%D9%8A%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x14f5db307954360d:0xe794b58554ee07b3!8m2!3d31.241606!4d29.9854589!16s%2Fg%2F11rt_f07_j!19sChIJDTZUeTDb9RQRswfuVIW1lOc?authuser=0&hl=en&rclk=1
مؤسسة عباد الرحمن ماجستيك,"16-14 Dr Rashad Shafeek, Dana Al Gadidah WA Izbat Al Westaneyah, El Raml 2, Alexandria Governorate 5448660",https://www.google.com/maps/place/%D9%85%D8%A4%D8%B3%D8%B3%D8%A9+%D8%B9%D8%A8%D8%A7%D8%AF+%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D9%86+%D9%85%D8%A7%D8%AC%D8%B3%D8%AA%D9%8A%D9%83%E2%80%AD/data=!4m7!3m6!1s0x14f5db422d5f1cad:0xdada545a785b3b8a!8m2!3d31.2396499!4d29.9896454!16s%2Fg%2F11r3zxcmkh!19sChIJrRxfLULb9RQRijtbeFpU2to?authuser=0&hl=en&rclk=1
Royal cafe,"72MF+25F, Al Amrawi, Qesm Al Montazah, Alexandria Governorate 5525120",https://www.google.com/maps/place/Royal+cafe/data=!4m7!3m6!1s0x14f5d08ae92ea8b5:0x3e95704a9678e8a5!8m2!3d31.2825603!4d30.02292!16s%2Fg%2F1tcy_kq2!19sChIJtagu6YrQ9RQRpeh4lkpwlT4?authuser=0&hl=en&rclk=1
Designia Mall,"5WFJ+C8P, Unnamed Road, Qetaa at Tarik as Sahrawi, Amreya 1, Alexandria Governorat",https://www.google.com/maps/place/Designia+Mall/data=!4m7!3m6!1s0x14f5c376ef653707:0xbc14cf1ce543fbf1!8m2!3d31.1735873!4d29.93084!16s%2Fg%2F11h_6x00k9!19sChIJBzdl73bD9RQR8ftD5RzPFLw?authuser=0&hl=en&rclk=1
فكهانى العمدة,"6XRP+8M4, Dana Al Gadidah WA Izbat Al Westaneyah, El Raml 2, Alexandria Governorate 5448641",https://www.google.com/maps/place/%D9%81%D9%83%D9%87%D8%A7%D9%86%D9%89+%D8%A7%D9%84%D8%B9%D9%85%D8%AF%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14f5dbe83d0e1563:0x25e5f4f4d5157b38!8m2!3d31.2407731!4d29.9867009!16s%2Fg%2F11mmdlh_37!19sChIJYxUOPejb9RQROHsV1fT05SU?authuser=0&hl=en&rclk=1
Deeb Mall,"1 Syria Street، Roushdy, 21311",https://www.google.com/maps/place/Deeb+Mall/data=!4m7!3m6!1s0x14f5c4c2965945db:0xddf2e629dcfb4d64!8m2!3d31.2280932!4d29.9516829!16s%2Fg%2F11c503pvbw!19sChIJ20VZlsLE9RQRZE373Cnm8t0?authuser=0&hl=en&rclk=1
الصفوة رسيڤر دش,"7X2J+2PC, Unnamed Road, As Soyouf Qebli (Include Izbat Derbanah), Montaza 2, Alexandria Governorat",https://www.google.com/maps/place/%D8%A7%D9%84%D8%B5%D9%81%D9%88%D8%A9+%D8%B1%D8%B3%D9%8A%DA%A4%D8%B1+%D8%AF%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x14f5db3acdac1d25:0x9df1d1472dd8d3!8m2!3d31.2500563!4d29.9817528!16s%2Fg%2F11j_pjvvn1!19sChIJJR2szTrb9RQR09gtR9HxnQA?authuser=0&hl=en&rclk=1
Elmoltaka Mall,"6W9V+PP7, Izbat Saed, Qesm Sidi Gaber, Alexandria Governorate 5432069",https://www.google.com/maps/place/Elmoltaka+Mall/data=!4m7!3m6!1s0x14f5c4936be5692b:0xc1c140fdeead11d8!8m2!3d31.2192762!4d29.944282!16s%2Fg%2F1tkfwy2j!19sChIJK2nla5PE9RQR2BGt7v1AwcE?authuser=0&hl=en&rclk=1
Town Mall,"6W9R+HX9, Sidi Gabir, Sidi Gaber, Alexandria Governorate 5433011",https://www.google.com/maps/place/Town+Mall/data=!4m7!3m6!1s0x14f5c52fe40a9afb:0x8651142346cd9408!8m2!3d31.2189155!4d29.9424762!16s%2Fg%2F11qntlzb6w!19sChIJ-5oK5C_F9RQRCJTNRiMUUYY?authuser=0&hl=en&rclk=1
أوفر لك لمواد التعبئة والتغليف,"57 Bort Said, Dana Al Gadidah WA Izbat Al Westaneyah, El Raml 2, Alexandria Governorate 5448617",https://www.google.com/maps/place/%D8%A3%D9%88%D9%81%D8%B1+%D9%84%D9%83+%D9%84%D9%85%D9%88%D8%A7%D8%AF+%D8%A7%D9%84%D8%AA%D8%B9%D8%A8%D8%A6%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D8%BA%D9%84%D9%8A%D9%81%E2%80%AD/data=!4m7!3m6!1s0x14f5dbf22adf4989:0xb1f81acb81aa5670!8m2!3d31.2405136!4d29.9855778!16s%2Fg%2F11qmrcjdbd!19sChIJiUnfKvLb9RQRcFaqgcsa-LE?authuser=0&hl=en&rclk=1
The Walk,"166 El-Gaish Rd, Sidi Gaber, Alexandria Governorate 21523",https://www.google.com/maps/place/The+Walk/data=!4m7!3m6!1s0x14f5c56dcc8e9c79:0x1c68151290a30c93!8m2!3d31.2299858!4d29.9379838!16s%2Fg%2F11sr7d71xy!19sChIJeZyOzG3F9RQRkwyjkBIVaBw?authuser=0&hl=en&rclk=1
Mega Florence Mall,"72HF+99R, Branched from Al Malek, Al Amrawi, Montaza 2, Alexandria Governorate 5525018",https://www.google.com/maps/place/Mega+Florence+Mall/data=!4m7!3m6!1s0x14f5d0897e4399e7:0xc6decbd39e1a7263!8m2!3d31.2784932!4d30.0233793!16s%2Fg%2F11c5xff0bs!19sChIJ55lDfonQ9RQRY3IantPL3sY?authuser=0&hl=en&rclk=1
Matajer Mall,"Ezbet Saad, Sidi Gaber, Alexandria Governorate 5432015",https://www.google.com/maps/place/Matajer+Mall/data=!4m7!3m6!1s0x14f5c58b6c3c2bd7:0xedc002da3ce7783c!8m2!3d31.2116666!4d29.9394996!16s%2Fg%2F11h_ws8cq6!19sChIJ1ys8bIvF9RQRPHjnPNoCwO0?authuser=0&hl=en&rclk=1
Orouba Mall,"Borg El-Arab Airport - North Coast Rd, ADH Dheraa Al Bahri, Borg El Arab, Alexandria Governorate 5217464",https://www.google.com/maps/place/Orouba+Mall/data=!4m7!3m6!1s0x14f58fb288dcd48b:0xa4aab6fdb289c7ba!8m2!3d31.0065161!4d29.6369565!16s%2Fg%2F11b5pm1m89!19sChIJi9TciLKP9RQRuseJsv22qqQ?authuser=0&hl=en&rclk=1
San Stefano Grand Plaza,"El-Gaish Rd, San Stefano, El Raml 2, Alexandria Governorate 5452053",https://www.google.com/maps/place/San+Stefano+Grand+Plaza/data=!4m7!3m6!1s0x14f5c52fadf4220f:0x7d08dceaad4557bd!8m2!3d31.2454887!4d29.9675784!16s%2Fg%2F11bc5z66n_!19sChIJDyL0rS_F9RQRvVdFrercCH0?authuser=0&hl=en&rclk=1
جواهرجي عبد السلام الصايغ,"368-360 Abd El-Salam Aref, As Soyouf Bahri, Montaza 2, Alexandria Governorate 5517010",https://www.google.com/maps/place/%D8%AC%D9%88%D8%A7%D9%87%D8%B1%D8%AC%D9%8A+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85+%D8%A7%D9%84%D8%B5%D8%A7%D9%8A%D8%BA%E2%80%AD/data=!4m7!3m6!1s0x14f5dbff9541402f:0xaf68cdef93e8efe0!8m2!3d31.250094!4d29.9799692!16s%2Fg%2F11j9j86n8b!19sChIJL0BBlf_b9RQR4O_ok-_NaK8?authuser=0&hl=en&rclk=1
G Mall - Green Towers,"Ezbet El-Nozha, Sidi Gaber, Alexandria Governorate 21646",https://www.google.com/maps/place/G+Mall+-+Green+Towers/data=!4m7!3m6!1s0x14f5c534108a22bf:0xf7f5ca0d62edfdcb!8m2!3d31.2030857!4d29.9641307!16s%2Fg%2F11sqclkkwc!19sChIJvyKKEDTF9RQRy_3tYg3K9fc?authuser=0&hl=en&rclk=1
Green Plaza,"6X38+VQC، مول جرين بلازا، سموحه، Sidi Gaber, Alexandria Governorat",https://www.google.com/maps/place/Green+Plaza/data=!4m7!3m6!1s0x14f5c4ae1b41d4d9:0x6fdb3aeafd4d2fe9!8m2!3d31.2046785!4d29.96688!16s%2Fg%2F11c533p3rr!19sChIJ2dRBG67E9RQR6S9N_eo6228?authuser=0&hl=en&rclk=1
Zahran Mall Smouha,"٣١، Victor Amanoiel Square, Alexandria Governorat",https://www.google.com/maps/place/Zahran+Mall+Smouha/data=!4m7!3m6!1s0x14f5c4970efb73e7:0x2383ede59be2bc5!8m2!3d31.211799!4d29.9472925!16s%2Fg%2F122xf13f!19sChIJ53P7DpfE9RQRxSu-Wd4-OAI?authuser=0&hl=en&rclk=1
محلات الفرنساوي لهياكل السيارات,"6 El-Taqwa Mosque, Dana Al Gadidah WA Izbat Al Westaneyah, El Raml 2, Alexandria Governorate 5448204",https://www.google.com/maps/place/%D9%85%D8%AD%D9%84%D8%A7%D8%AA+%D8%A7%D9%84%D9%81%D8%B1%D9%86%D8%B3%D8%A7%D9%88%D9%8A+%D9%84%D9%87%D9%8A%D8%A7%D9%83%D9%84+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x14f5db6c41a7a439:0x6178d979f29f3a28!8m2!3d31.2302565!4d29.9767184!16s%2Fg%2F11jn1yg91h!19sChIJOaSnQWzb9RQRKDqf8nnZeGE?authuser=0&hl=en&rclk=1
Wardian Mall,"70 elbaihaqy street, Al Wardiyan Sharq, Port al-Basal, Alexandria Governorate 21111",https://www.google.com/maps/place/Wardian+Mall/data=!4m7!3m6!1s0x14f5c11840d1d287:0x45dd1699704cc8bf!8m2!3d31.1664545!4d29.8687602!16s%2Fg%2F11n6w14tnl!19sChIJh9LRQBjB9RQRv8hMcJkW3UU?authuser=0&hl=en&rclk=1
Rainbow Shoes Store,"Dana Al Gadidah WA Izbat Al Westaneyah, Montaza 1, Alexandria Governorate 21500",https://www.google.com/maps/place/Rainbow+Shoes+Store/data=!4m7!3m6!1s0x14f5db46ce9c4917:0x630cca051af55d67!8m2!3d31.2387601!4d29.992613!16s%2Fg%2F11q2r3tk85!19sChIJF0mczkbb9RQRZ131GgXKDGM?authuser=0&hl=en&rclk=1
Elwatania mall,"26 Shaarawy, San Stefano, El Raml 2, Alexandria Governorate 5451107",https://www.google.com/maps/place/Elwatania+mall/data=!4m7!3m6!1s0x14f5c5d67aefd4b7:0xf2b4ab94d29f76a3!8m2!3d31.247802!4d29.9733517!16s%2Fg%2F11mvvhwx4m!19sChIJt9TvetbF9RQRo3af0pSrtPI?authuser=0&hl=en&rclk=1
1924 Mall,"Mahta Al Raml Sq., Al Mesallah Sharq, Al Attarin, Alexandria Governorate 5373010",https://www.google.com/maps/place/1924+Mall/data=!4m7!3m6!1s0x14f5c3f31fd9f4a7:0xd0ac64d0ccbb5b94!8m2!3d31.2029259!4d29.9030832!16s%2Fg%2F11gyxlp461!19sChIJp_TZH_PD9RQRlFu7zNBkrNA?authuser=0&hl=en&rclk=1
Majestic Mall,"5 Mohammed Ahmed El-Tayeb, Al Mansheyah Al Kubra, Mansheya, Alexandria Governorate 5361022",https://www.google.com/maps/place/Majestic+Mall/data=!4m7!3m6!1s0x14f5c3ef59f39b6d:0x37e730d7947f1155!8m2!3d31.1982819!4d29.893426!16s%2Fg%2F11cmwwrkb0!19sChIJbZvzWe_D9RQRVRF_lNcw5zc?authuser=0&hl=en&rclk=1
ams number one,"6XW9+RV4, سان ستفانو،، قسم الرمل،،, El Raml 1, Alexandria Governorat",https://www.google.com/maps/place/ams+number+one/data=!4m7!3m6!1s0x14f5c54108405349:0xc150d5342d9565e!8m2!3d31.247011!4d29.9697173!16s%2Fg%2F11jj45k19y!19sChIJSVNACEHF9RQRXlbZQlMNFQw?authuser=0&hl=en&rclk=1
مركز المهندس لتجهيز السوبر ماركت,"44 Ali Ibn Abi Talib, As Soyouf Qebli (Include Izbat Derbanah), Montaza 2, Alexandria Governorate 5515277",https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%87%D9%86%D8%AF%D8%B3+%D9%84%D8%AA%D8%AC%D9%87%D9%8A%D8%B2+%D8%A7%D9%84%D8%B3%D9%88%D8%A8%D8%B1+%D9%85%D8%A7%D8%B1%D9%83%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x14f5dbb79d212ba7:0x404e452293c0b55d!8m2!3d31.2440222!4d29.9990962!16s%2Fg%2F11jrcpkgh3!19sChIJpyshnbfb9RQRXbXAkyJFTkA?authuser=0&hl=en&rclk=1
مركز تلوين جي ال سي GLC القليوبي _ باكوس,"6XGF+GXR, باكوس, شارع محطة السوق، Alexandria Governorat",https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%AA%D9%84%D9%88%D9%8A%D9%86+%D8%AC%D9%8A+%D8%A7%D9%84+%D8%B3%D9%8A+GLC+%D8%A7%D9%84%D9%82%D9%84%D9%8A%D9%88%D8%A8%D9%8A+_+%D8%A8%D8%A7%D9%83%D9%88%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x14f5db79ed837e25:0xc109526ca87adafa!8m2!3d31.2263612!4d29.974905!16s%2Fg%2F11jlj8kbhd!19sChIJJX6D7Xnb9RQR-tp6qGxSCcE?authuser=0&hl=en&rclk=1
Carrefour,"6XWV+7Q9، أمين حسونة، As Soyouf Qebli (Include Izbat Derbanah), Montaza 2, Alexandria Governorate 5515140",https://www.google.com/maps/place/Carrefour/data=!4m7!3m6!1s0x14f5dac15e1c4361:0x58283ec3154e4013!8m2!3d31.2456587!4d29.994489!16s%2Fg%2F11b7q2x3x9!19sChIJYUMcXsHa9RQRE0BOFcM-KFg?authuser=0&hl=en&rclk=1
Elkaharah Elokari,"6XXC+5XJ, San Stefano, Qesm AR Ramel, Alexandria Governorate 5451108",https://www.google.com/maps/place/Elkaharah+Elokari/data=!4m7!3m6!1s0x14f5c5331f293d23:0xa3319cc4aecc1fec!8m2!3d31.2479687!4d29.9724048!16s%2Fg%2F1td2q9xt!19sChIJIz0pHzPF9RQR7B_MrsScMaM?authuser=0&hl=en&rclk=1
ديما ستور,"5 Momtaz Basha, As Soyouf Qebli (Include Izbat Derbanah), Montaza 2, Alexandria Governorate 5516002",https://www.google.com/maps/place/%D8%AF%D9%8A%D9%85%D8%A7+%D8%B3%D8%AA%D9%88%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14f5dbfb03450415:0x8b32fcc285c8608b!8m2!3d31.2441125!4d29.9838594!16s%2Fg%2F11m1zw7xsn!19sChIJFQRFA_vb9RQRi2DIhcL8Mos?authuser=0&hl=en&rclk=1
Cozy house,"6XVF+C7X, Al Qasaei Bahri, El Raml 2, Alexandria Governorate 5450382",https://www.google.com/maps/place/Cozy+house/data=!4m7!3m6!1s0x14f5c5f8cb0a53bb:0x6031ba957cce0350!8m2!3d31.243512!4d29.9732418!16s%2Fg%2F11p_1h_vg1!19sChIJu1MKy_jF9RQRUAPOfJW6MWA?authuser=0&hl=en&rclk=1
البطل,43 الاستوديو، دنا الجديدة وعزبة الوسطان، قسم الرمل، الإسكندرية،,https://www.google.com/maps/place/%D8%A7%D9%84%D8%A8%D8%B7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f5db3d7fed9845:0x1e32aecae82de014!8m2!3d31.2378526!4d29.986233!16s%2Fg%2F11lptdt8_c!19sChIJRZjtfz3b9RQRFOAt6MquMh4?authuser=0&hl=en&rclk=1
فكهانى العمده El Omda for frutes,"6XRP+8M4, Dana Al Gadidah WA Izbat Al Westaneyah, El Raml 2, Alexandria Governorate 5448641",https://www.google.com/maps/place/%D9%81%D9%83%D9%87%D8%A7%D9%86%D9%89+%D8%A7%D9%84%D8%B9%D9%85%D8%AF%D9%87+El+Omda+for+frutes%E2%80%AD/data=!4m7!3m6!1s0x14f5db1e7e15db2d:0x939b49f8241887f5!8m2!3d31.2407688!4d29.9867011!16s%2Fg%2F11l86ws3pm!19sChIJLdsVfh7b9RQR9YcYJPhJm5M?authuser=0&hl=en&rclk=1
Alex City Mall1,"El Eman St, Al Agamy Al Bahri, Dekhela, Alexandria Governorate 5313601",https://www.google.com/maps/place/Alex+City+Mall1/data=!4m7!3m6!1s0x14f594c73aed5c39:0x7228209dff87df15!8m2!3d31.099927!4d29.772375!16s%2Fg%2F11bwgk3x7b!19sChIJOVztOseU9RQRFd-H_50gKHI?authuser=0&hl=en&rclk=1
Nail shop,"6XW9+52W, San Stefano, El Raml 1, Alexandria Governorate 5452053",https://www.google.com/maps/place/Nail+shop/data=!4m7!3m6!1s0x14f5c5349e17d29f:0x709310887829578b!8m2!3d31.2454887!4d29.9675784!16s%2Fg%2F11k0klb71n!19sChIJn9IXnjTF9RQRi1cpeIgQk3A?authuser=0&hl=en&rclk=1
Americana Plaza,"6W29+2FQ, Bab Sharqi WA Wabour Al Meyah, Bab Sharqi, Alexandria Governorate 5422015",https://www.google.com/maps/place/Americana+Plaza/data=!4m7!3m6!1s0x14f5c37df53ca7fb:0x719e04db6b1f2439!8m2!3d31.2000924!4d29.9187387!16s%2Fg%2F11lgslvgl3!19sChIJ-6c89X3D9RQROSQfa9sEnnE?authuser=0&hl=en&rclk=1
Alexa Tower,"59 شارع صفية زغلول،, Al Mesallah Sharq, Al Attarin, Alexandria Governorat",https://www.google.com/maps/place/Alexa+Tower/data=!4m7!3m6!1s0x14f5c39e7e169fe3:0xb65c569e8a9f590!8m2!3d31.1995432!4d29.9017569!16s%2Fg%2F11h9424c1w!19sChIJ458Wfp7D9RQRkPWp6GnFZQs?authuser=0&hl=en&rclk=1
